Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,Call me what you like.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,I'm not sure what I've done to offend you. I have great admiration for the Night's Watch. I've great admiration for you as First Ranger.
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"You know, my brother once told me that nothing someone says before the word ""but"" really counts."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"But... I don't believe that giants and ghouls and White Walkers are lurking beyond the Wall. I believe that the only difference between us and the wildlings is that when the Wall went up, our ancestors happened to live on the right side of it."
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"You're right. The wildlings are no different from us. A little rougher maybe. But they're made of meat and bone. I know how to track them and I know how to kill them. It's not the wildlings giving me sleepless nights. You've never been north of the Wall, so don't tell me what's out there."
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,"Are you going below? Keep well, keep warm."
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"Enjoy the capital, brother."
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,I always do.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"I think he's starting to like me. ""Going below""?"
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,Into the tunnel and out the other side. He'll be north of the Wall for a month or two.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,So you're heading down to King's Landing too.
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,Day after tomorrow. I get about half of my recruits from their dungeons.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Let's share the road. I could use some decent company.
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,"I travel a bit on the grubby side, my Lord."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Not this time. We'll be staying at the finest castles and inns. No one turns away a Lannister.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"Yes, Khaleesi."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,What are you doing?
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"When was last time you bleed, Khaleesi? You change, Khaleesi. It's a blessing from the Great Stallion."
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"For a man on horseback, the curved blade is a good thing, easier to handle. It's a good weapon for a Dothrakan. But a man in full plate... the arakh won't get through the steel. That's where the broadsword has the advantage. Designed for piercing plate."
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,Dothraki don't wear steel dresses.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Armor.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,Armor. Armor make a man... Vroz?
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Slow.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,Slow.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"It's true, but it also keeps a man alive."
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,My father taught me how to fight. He taught me that speed defeats size.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I've heard that your father was a famous warrior.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,"He was bloodrider to Khal Bharbo. And your father, Jorah the Andal? He was a warrior also?"
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,He still is. A man of great honor. And I betrayed him.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,The Khaleesi wants to eat something different tonight. Kill some rabbits.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,There are no rabbits.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"Find some ducks, she likes ducks."
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,"Have you seen any ducks, woman? No rabbits, no ducks. Do you have eyes in your head? Do you?"
2011-05-01,Season 1,Episode 3,Lord Snow,irri,Dog then. I have seen many dogs.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I don't think she wants to eat dog.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,The Khaleesi have baby inside her. It is true. She does not bleed for two moons. Her belly start to swell.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,A blessing from the Great Stallion.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,She does not want to eat horse.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I'll have the boys butcher a goat for supper. I need to ride to Qohor.
2011-05-01,Season 1,Episode 3,Lord Snow,rhakaro,We ride for Vaes Dothrak.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Don't worry. I'll catch you. The horde's easy to find.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Don't stand so still. It's harder to hit a moving target. Except for you. You move too much. I could just hold my sword out and let you do the work for me.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,"How many winters have you seen, Lord Tyrion?"
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"Eight... no, nine."
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,All of them brief?
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"They say the winter of my birth was three years long, Maester Aemon."
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,This summer has lasted nine. But reports from the Citadel tell us the days grow shorter. The Starks are always right eventually
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,"We've been capturing wildlings, more every month. They're fleeing south. The ones who flee... say they've seen the White Walkers."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"Yes, and the fishermen of Lannisport say they see mermaids."
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,One of our own rangers swore he saw them kill his companions. He swore it right up to the moment Ned Stark chopped his head off.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,The Night's Watch is the only thing standing between the realm and what lies beyond. And it has become an army of undisciplined boys and tired old men. There are less than a thousand of us now. We can't man the other castles on the Wall. We can't properly patrol the wilderness. We've barely enough resources to keep our lads armed and fed.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Your sister sits by the side of the King. Tell her we need help.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,"When winter does come, gods help us all if we're not ready."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,It's a boy.
2011-05-01,Season 1,Episode 3,Lord Snow,khal drogo,How do you know?
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,I know.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,"I'm sorry to see you leave, Lannister."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,It's either me or this cold. And it doesn't appear to be going anywhere.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Will you stop at Winterfell on your way South?
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,I expect I will. Gods know there aren't many feather beds between here and King's Landing.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,"If you see my brother Bran, tell him I miss him. Tell him I'd visit if I could."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Of course.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,He'll never walk again.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"If you're going to be a cripple, it's better to be a rich cripple. Take care, Snow."
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,"Farewell, My Lord."
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"You are late, boy. Tomorrow you will be here at midday."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Who are you?
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Your dancing master, Syrio Forel."
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Tomorrow you will catch it. Now pick it up. That is not the way, boy. This is not a great sword that is needing two hands to swing it."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,It's too heavy.
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,It is heavy as it needs to be to make you strong. Just so. One hand is all that is needed. Now you are standing all wrong. Turn your body side-face. So. You are skinny. That is good. The target is smaller. Now the grip... Let me see. The grip must be delicate.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,What if I drop it?
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"The steel must be part of your arm. Can you drop part of your arm? No. Nine years Syrio Forel was first sword to the Sealord of Braavos. He knows these things. You must listen to me, boy."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I'm a girl.
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Boy, girl... You are a sword, that is all. That is the grip. You are not holding a battle-axe. You are holding..."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,A needle.
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Ahhh… Just so. Now we will begin the dance. Remember, child, this is not the dance of the Westeros we are learning... The knight's dance, hacking and hammering. This is the Bravo's dance... The water dance. It is swift and sudden. All men are made of water, do you know this? If you pierce them, the water leaks out and they die. Now you will try to strike me."
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Up! Dead. Dead. Very dead. Come. Again, faster."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",old nan,The little Lordo s been dreaming again.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We have visitors.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,I don't want to see anyone.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Really? If I was cooped up all day with no one but this old bat for company, I'd go mad. Anyway, you don't have a choice. Robb's waiting."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,I don't want to go.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Neither do I. But Robb's Lord of Winterfell, which means I do what he says and you do what I say. Hodor! Help Bran down the hall."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,I must say I received a slightly warmer welcome on my last visit.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,Any man of the Night's Watch is welcome at Winterfell.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"Any man of the Night's Watch, but not I, eh, boy?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,"I'm not your boy, Lannister. I'm Lord of Winterfell while my father is away."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,Then you might learn a lordo s courtesy.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,So it's true. Hello Bran. Do you remember anything about what happened?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",maester luwin,He has no memory of that day.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,Curious.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,Why are you here?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,Would your charming companion be so kind as to kneel? My neck is beginning to hurt.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,"Kneel, Hodor."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"Do you like to ride, Bran?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,"Yes. Well, I mean I did like to."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",maester luwin,The boy has lost the use of his legs.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"What of it? With the right horse and saddle, even a cripple can ride."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,I'm not a cripple.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,Then I'm not a dwarf. My father will rejoice to hear it. I have a gift for you. Give that to your saddler. He'll provide the rest. You must shape the horse to the rider. Start with a yearling and teach it to respond to the reins and to the boy's voice.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",bran stark,Will I really be able to ride?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,You will. On horseback you will be as tall as any of them.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,Is this some kind of trick? Why do you want to help him?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"I have a tender spot in my heart for cripples, bastards and broken things."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",robb stark,You've done my brother a kindness. The hospitality of Winterfell is yours.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"Spare me your false courtesies, Lord Stark. There's a brothel outside your walls. There I'll find a bed and both of us can sleep easier."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Couldn't resist some northern ass? If you like redheads, ask for Ros."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"Come to see me off, Greyjoy? Kind of you. Your master doesn't seem to like Lannisters."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,He's not my master.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"No, of course not. What happened here? Where is lady Stark? Why didn't she receive me?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,She wasn't feeling well.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"She's not in Winterfell, is she? Where did she go?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,My lady's whereabouts...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"My lady? Your loyalty to your captors is touching. Tell me, how do you think Balon Greyjoy would feel if he could see his only surviving son has turned lackey? I still remember seeing my father's fleet burn in Lannisport. I believe your uncles were responsible?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,Must have been a pretty sight.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"Nothing prettier than watching sailors burn alive. Yes, a great victory for your people. Shame how it all turned out."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,We were outnumbered 10 to one.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"A stupid rebellion then. I suppose your father realized that when your brothers died in battle. Now here you are, your enemy's squire."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Careful, Imp."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",tyrion lannister,"I've offended you. Forgive me, it's been a rough morning. Anyway, don't despair. I'm a constant disappointment to my own father and I've learned to live with it. Your next tumble with Ros is on me. I'll try not to wear her out."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,"Leg, shoulder, leg. Left foot forward. Good. Now pivot as you deliver the stroke. Put all your weight behind it."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,What in seven hells is that?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",pyp,They'll need an eighth hell to fit him in.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,Tell them your name.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"Samwell Tarly, of Horn Hill. I mean, I was of Horn Hill. I've come to take the black."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",rast,Come to take the black pudding.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,"Well, you couldn't be any worse than you look. See what he can do."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,"I yield. Please, no more."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,"On your feet. Pick up your sword. Hit him till he finds his feet. It seems they've run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,Enough! He yielded.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,Are you sure you want to do this?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,No. Yield yield yield! I yield.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,We're done for today. Go clean the armory. That's all you're good for.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",pyp,Well fought!
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,Piss off.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,Did he hurt you?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,I've had worse.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You can call me Sam... If you want. My mother calls me Sam.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,"It's not going to get any easier, you know? You'll have to defend yourself."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,Why didn't you get up and fight?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I wanted to. I just couldn't.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,Why not?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,I'm a coward. My father always says so.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jon snow,The Wall's no place for cowards.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sam tarly,You're right. I'm sorry. I just... Wanted to thank you.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,A bloody coward. People saw us talking to him. Now they'll think we're cowards too.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",pyp,You're too stupid to be a coward.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,You're too stupid to be a...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",pyp,"Quick now, before summer's over."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grenn,Come on here!
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Vaes Dothrak. The city of the horselords.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,A pile of mud. Mud and shit and twigs - best these savages can do.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,These are my people now. You shouldn't call them savages.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"I'll call them what I like, because they're my people. This is my army. Khal Drogo is marching the wrong way with my army."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,"If my brother was given an army of Dothraki, could you conquer the Seven Kingdoms?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,The Dothraki have never crossed the Narrow Sea. They fear any water their horses can't drink.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,But if they did?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"King Robert is fool enough to meet them in open battle, but the men advising him are different."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,And you know these men?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"I fought beside them once, long ago. Now Ned Stark wants my head. He drove me from my land."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,You sold slaves.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,Aye.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,Why?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,I had no money and an expensive wife.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,And where is she now?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",jorah mormont,"In another place, with another man."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,Your Grace?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"Yes, my dear?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,They call you the last dragon...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,They do.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,You have dragon's blood in your veins?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,It's entirely possible.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,What happened to the dragons? I was told that brave men killed them all.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"The brave men didn't kill dragons. The brave men rode them. Rode them from Valyria to build the greatest civilization this world has ever seen. The breath of the greatest dragon forged the Iron Throne, which the Usurper is keeping warm for me. The swords of the vanquished, a thousand of them... melted together like so many candles."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,I have always wanted to see a dragon. There is nothing in the world that I would rather see.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,Really? Why dragons?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,"They can fly. And wherever they are, just a few flaps of their wings and they're somewhere else... Far away. And they can kill. Anyone or anything that tries to hurt them gets burned away to nothing... melted... like so many candles. Seeing a dragon would make me very happy."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"Well, after 15 years in a pleasure house, I imagine just seeing the sky makes you happy."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,I was not locked in. I have seen things.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,What have you seen?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,I've seen... A man from Asshai with a dagger of real dragonglass. I've seen a man who could change his face the way that other men change their clothes. And I've seen a pirate who wore his weight in gold and whose ship had sails of colored silk. So... Have you seen one?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,A pirate ship?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,A dragon.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"No, the last one died many years before I was born. I'll tell you what I have seen"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,What happened to the skulls?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"I don't know. The Usurper had them smashed to powder, I expect. Scattered to the wind."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,That's very sad.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,"Yes, it is. What did I buy you for? To make me sad?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",doreah,"No, your Grace. To teach your sister."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",viserys targaryen,To teach my sister how to be a better lover? You think I bought you to make Khal Drogo happy? You pretty little idiot. Go on then. Get on with it.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,"Someday your husband will sit there and you will sit by his side. And one day, before too long, you will present your son to the court. All the lords of Westeros will gather here to see the little prince..."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,What if I have a girl?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,"Gods be good, you'll have boys and girls and plenty of them."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,What if I only have girls?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,I wouldn't worry about that.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"Jeyne Poole's mother had five children, all of them girls."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,"Yes, but it's highly unlikely."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,But what if?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,"If you only had girls, I suppose the throne would pass to Prince Joffrey's little brother."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,And everyone would hate me.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,Nobody could ever hate you.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Joffrey does.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,Nonsense. Why would you say such a thing? That business with the wolves? I've told you a hundred times... A direwolf is not...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Please shut up about it.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,Do you remember your lessons? Who built the Iron Throne?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Aegon the Conqueror.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,And who built the Red Keep?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Maegor the Cruel.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,And how many years did it take to build...
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"My grandfather and uncle were murdered here, weren't they?"
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,"They were killed on the orders of King Aerys, yes."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,The Mad King.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,Commonly known as the Mad King.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,Why were they killed?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,You should speak to your father about these matters.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"I don't want to speak to my father, ever."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",septa mordane,You will find it in your heart to forgive your father.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"No, I won't."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,"It's the Hando s tournament that's causing all this trouble, my Lords."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,The King's tournament. I assure you the Hand wants no part of it.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,"Call it what you will, Lord Stark Ser, the city is packed with people and more flooding in every day. Last night we had a tavern riot, a brothel fire, three stabbings and a drunken horse race down the Street of Sisters."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",varys,Dreadful.
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",renly baratheon,"If you can't keep the King's peace, perhaps the City Watch should be commanded by someone who can."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",janos slynt,I need more men.
